DATE,START,END,DURATION,ID,TOPIC
05/24/2021,11:01,12:05,64.0,10,JAVASCRIPT
05/24/2021,12:59,13:59,60.0,98,GRAPHQL
05/24/2021,22:07,23:05,58.0,239,SQL
05/25/2021,11:00,12:05,65.0,241,PYTHON_PANDAS_MATPLOTLIB
05/25/2021,07:03,08:04,61.0,172,PYTHON_PANDAS_MATPLOTLIB
05/26/2021,05:00,06:00,60.0,3,FLASK
05/26/2021,19:00,20:00,60.0,239,REACT
05/26/2021,21:26,22:26,60.0,172,PYTHON_PANDAS_MATPLOTLIB
05/27/2021,08:01,09:01,60.0,149,PYTHON_PANDAS_MATPLOTLIB
05/27/2021,10:00,11:02,62.0,47,HTML_CSS
05/27/2021,12:03,13:00,57.0,209,FLASK
05/27/2021,15:00,16:00,60.0,156,APIS
05/26/2021,16:00,17:00,60.0,239,NODE_EXPRESS
05/27/2021,20:06,21:06,60.0,144,ML_UNSUPERVISED
05/27/2021,09:03,10:04,61.0,209,STATISTICS
05/27/2021,12:00,14:00,120.0,209,ML_DEEP_LEARNING
05/28/2021,19:00,20:00,60.0,69,ML_DEEP_LEARNING
05/29/2021,07:00,08:32,92.0,209,ML_SUPERVISED
05/29/2021,09:00,10:00,60.0,239,NODE_EXPRESS
05/29/2021,12:59,14:03,64.0,72,SQL
05/29/2021,15:02,16:02,60.0,179,SQL
05/29/2021,19:56,20:56,60.0,60,GRAPHQL
05/30/2021,07:00,09:00,120.0,26,ML_SUPERVISED
05/30/2021,12:00,13:00,60.0,209,ML_SUPERVISED
05/31/2021,09:02,10:02,60.0,209,ML_UNSUPERVISED
05/31/2021,20:00,21:09,69.0,3,HTML_CSS
06/01/2021,07:02,08:02,60.0,33,HTML_CSS
06/01/2021,09:49,11:19,90.0,209,ML_UNSUPERVISED
06/01/2021,16:00,17:00,60.0,26,ML_SUPERVISED
06/01/2021,18:11,19:11,60.0,239,JAVASCRIPT
06/02/2021,08:00,09:00,60.0,226,JAVASCRIPT
06/02/2021,10:26,11:27,61.0,139,SQL
06/02/2021,14:00,15:00,60.0,71,PYTHON_PANDAS_MATPLOTLIB
06/02/2021,20:00,21:02,62.0,165,PYTHON_PANDAS_MATPLOTLIB
06/02/2021,10:00,11:00,60.0,239,JAVASCRIPT
06/03/2021,06:06,06:36,30.0,112,PYTHON_PANDAS_MATPLOTLIB
06/03/2021,08:01,09:01,60.0,149,EXCEL_VBA
06/03/2021,09:56,10:56,60.0,156,APIS
06/03/2021,12:00,14:00,120.0,139,APIS
06/03/2021,18:04,19:04,60.0,241,PYTHON_PANDAS_MATPLOTLIB
06/03/2021,20:00,21:00,60.0,239,JAVASCRIPT
06/04/2021,08:02,08:30,28.0,189,PYTHON_PANDAS_MATPLOTLIB
06/04/2021,09:58,10:58,60.0,47,APIS
06/04/2021,12:00,14:00,120.0,198,ML_SUPERVISED
06/04/2021,13:59,14:59,60.0,172,JAVASCRIPT
06/04/2021,19:00,22:00,180.0,20,FLASK
